trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
272,False,"{'e': 0.06497898609824969, 'a': 0.5}",35,0,21.847398245245625,"{0: 33, 1: 1, 2: 0, 3: 1, 4: 0}",0
273,False,"{'e': 0.0643291962372672, 'a': 0.5}",20,11,-4.480376742618314,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
274,False,"{'e': 0.06368590427489453, 'a': 0.5}",20,16,8.658063139799745,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
275,False,"{'e': 0.06304904523214558, 'a': 0.5}",25,13,21.203623916687867,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
276,False,"{'e': 0.06241855477982412, 'a': 0.5}",20,10,7.656510137600272,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
277,False,"{'e': 0.06179436923202588, 'a': 0.5}",25,6,19.789319814922262,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
278,False,"{'e': 0.06117642553970562, 'a': 0.5}",25,11,25.566201049675797,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
279,False,"{'e': 0.06056466128430856, 'a': 0.5}",25,17,14.470725083421396,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
280,False,"{'e': 0.05995901467146548, 'a': 0.5}",20,9,19.98240020442938,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
281,False,"{'e': 0.05935942452475082, 'a': 0.5}",25,20,10.512429542045052,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
282,False,"{'e': 0.058765830279503314, 'a': 0.5}",30,21,16.86993993006198,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
283,False,"{'e': 0.05817817197670828, 'a': 0.5}",25,14,16.40521085465836,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
284,False,"{'e': 0.057596390256941195, 'a': 0.5}",30,12,28.678984143029766,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
285,False,"{'e': 0.05702042635437178, 'a': 0.5}",20,15,-3.0780715519183337,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
286,False,"{'e': 0.05645022209082806, 'a': 0.5}",30,12,25.928334324634083,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
287,False,"{'e': 0.05588571986991978, 'a': 0.5}",25,0,43.097590716506645,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
288,False,"{'e': 0.055326862671220584, 'a': 0.5}",20,13,9.656565799957415,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
289,False,"{'e': 0.05477359404450838, 'a': 0.5}",25,7,31.023862725414855,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
290,False,"{'e': 0.054225858104063294, 'a': 0.5}",20,0,23.520663432169734,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
291,False,"{'e': 0.05368359952302266, 'a': 0.5}",30,16,23.174419641198213,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
